IRI,Label,Subset,Definition,Xrefs,Synonyms,Expert_Approved,Expert_Comment,Suggested_Correction,Auto_Xref,Auto_Xref_Source,Auto_Definition,PMID_Evidence,Suggested_Subset,Reclassify_Reason,Duplicate_Of,Label_Quality,Disease_Boundary_Note
ARDS_POI_02159,Bispectral Index monitoring,POI_intervention,,,,,,,398204001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01131,Bronchodilators,POI_intervention,,,,,,,320430007,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01132,Bronchoscopy,POI_intervention,,,,,,,D001999,BioPortal,"Endoscopic examination, therapy or surgery of the bronchi.",,,,,,
ARDS_POI_02652,CO2 elimination with ECCO2R,POI_intervention,,,,,,,D000092724,BioPortal,"Temporary dietary restrictions designed to help identify specific foods or FOOD ADDITIVES that trigger ALLERGIC REACTIONS, symptoms of DIGESTIVE SYSTEM DISORDERS, or other adverse food reactions.",,,,,,
ARDS_POI_01670,Capnography Monitoring,POI_intervention,,,,,,,D019296,BioPortal,Continuous recording of the carbon dioxide content of expired air.,,,,,,
ARDS_POI_01698,Cardiopulmonary exercise testing (VO2max),POI_intervention,,,,,,,Thesaurus.owl#C116517,BioPortal,A clinical tool to evaluate exercise capacity and to assess cardiac function under stress.,,,,,,
ARDS_POI_01694,Cardiovascular evaluation,POI_intervention,,,,,,,43038000,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02293,Chronic alcohol abuse,POI_intervention,,,,,,,Thesaurus.owl#C20701,BioPortal,"The use of alcoholic beverages to excess, either on individual occasions (""binge drinking"") or as a regular practice.",,,,,,
ARDS_POI_02638,Close monitoring and early ventilation for high-risk Guillain-Barré,POI_intervention,,,,,,,40956001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02880,Compliance above lip recruitable lung,POI_intervention,,,,,,,D008170,BioPortal,"The capability of the LUNGS to distend under pressure as measured by pulmonary volume change per unit pressure change. While not a complete description of the pressure-volume properties of the lung, it is nevertheless useful in practice as a measure of the comparative stiffness of the lung. (From Be",,,,,,
ARDS_POI_01846,Computer-driven weaning protocol,POI_intervention,,,,,,,D014886,BioPortal,"Permanent deprivation of breast milk and commencement of nourishment with other food. (From Stedman, 25th ed)",,,,,,
ARDS_POI_02882,Concave v p curve recruitment,POI_intervention,,,,,,,278087009,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_03284,Conservative fluid management strategy,POI_intervention,Restrictive fluid strategy targeting zero or negative cumulative fluid balance in ARDS. FACTT trial (PMID:16714767): negative fluid balance improved oxygenation and reduced ventilator days without inc,,,,,,Thesaurus.owl#C173582,BioPortal,,,,,ARDS_POI_01020,,
ARDS_POI_01020,Conservative fluid management strategy,POI_intervention,,,,,,,Thesaurus.owl#C173582,BioPortal,"The promotion of optimal fluid balance, especially in the inpatient setting, through ongoing clinical assessment and monitoring of intravascular volume, and accurate replacement of fluid losses.",,,,ARDS_POI_03284,,
ARDS_POI_01355,Conservative or deresuscitative fluid strategy,POI_intervention,,,,,,,D000072700,BioPortal,"Therapeutic approaches that are limited, gradual, or well-established as opposed to radical methods.",,,,,,
ARDS_POI_02884,Copd intrinsic peep,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_01669,Cricoid Pressure,POI_intervention,,,,,,,241726007,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02899,Decreased tidal volumes ards,POI_intervention,,,,,,,Thesaurus.owl#C96635,BioPortal,A calculation of the aggregated volume values.,,,,,,
ARDS_POI_01549,Decreased use of SIMV,POI_intervention,,,,,,,260676000,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02737,Delayed invasive ventilation,POI_intervention,,,,,,,428311008,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01074,Dependent lung atelectasis with one-lung ventilation,POI_intervention,,,,,,,D061810,BioPortal,Techniques for supplying artificial respiration to a single lung.,38065200,,,,,
ARDS_POI_01403,Dependent lung filling with perflubron,POI_intervention,,,,,,,C003072,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02910,Differential peep response by phenotype,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_01696,Diffusion capacity (DLCO),POI_intervention,,,,,,,87529006,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01027,Diuresis,POI_intervention,,,,,,,D004231,BioPortal,"An increase in the excretion of URINE. (McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)",,,,,,
ARDS_POI_01594,Duration of bed rest during critical illness,POI_intervention,,,,,,,D016638,BioPortal,A disease or state in which death is possible or imminent.,,,,,,
ARDS_POI_02685,E-PRE-DELIRIC model,POI_intervention,,,,,,,Thesaurus.owl#C18953,BioPortal,Theoretical models before being tested clinically,,,,,,
ARDS_POI_01422,ECCO2R for CO2 removal,POI_intervention,,,,,,,703490005,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01109,Early ICU mobility therapy protocol,POI_intervention,,,,,,,370867005,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02082,Early PT intervention,POI_intervention,,,,,,,Thesaurus.owl#C159524,BioPortal,A range of targeted services and supports that are available to babies and young children with developmental delays or specific health conditions.,,,,,,
ARDS_POI_01813,Early feeding initiation,POI_intervention,,,,,,,74142004,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01110,Early physical therapy in ICU,POI_intervention,,,,,,,Thesaurus.owl#C15302,BioPortal,"The treatment of deformity or disease through mechanical force and movement, including both active and passive exercises, intended to ameliorate injury, increase mobility, and improve overall function.",,,,,,
ARDS_POI_02920,Ecmo complications,POI_intervention,,,,,,,Q000150,BioPortal,"Used with diseases to indicate conditions that co-exist or follow, i.e., co-existing diseases, complications, or sequelae.",,,,,,
ARDS_POI_02921,Ecmo duration,POI_intervention,,,,,,,103335007,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02922,Ecmo treatment,POI_intervention,,,,,,,D015199,BioPortal,"Application of a life support system that circulates the blood through an oxygenating system, which may consist of a pump, a membrane oxygenator, and a heat exchanger. Examples of its use are to assist victims of SMOKE INHALATION INJURY; RESPIRATORY FAILURE; and CARDIAC FAILURE.",,,,,,
ARDS_POI_02184,Education program for VAP prevention,POI_intervention,,,,,,,480841000124109,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_03219,Electrical impedance tomography,POI_intervention,Bedside real-time lung imaging via thoracic electrical impedance. Enables individualised PEEP titration without radiation.,,,,,,464634001,BioPortal,,27115558,,,,,
ARDS_POI_02924,Enhanced peep benefit,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_02925,Enteral feeding epa gla antioxidants,POI_intervention,,,,,,,229912004,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01203,Enteral feeding with EPA+GLA and antioxidants,POI_intervention,,,,,,,229912004,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01640,"Enteral n-3 fatty acid, gamma-linolenic acid, and antioxidant supplementation",POI_intervention,,,,,,,D017965,BioPortal,"An omega-6 fatty acid produced in the body as the delta 6-desaturase metabolite of linoleic acid. It is converted to dihomo-gamma-linolenic acid, a biosynthetic precursor of monoenoic prostaglandins such as PGE1. (From Merck Index, 11th ed)",,,,,,
ARDS_POI_01697,Estimation of postop pulmonary reserve,POI_intervention,,,,,,,Thesaurus.owl#C186775,BioPortal,A treatment arm for patients receiving postoperative chemotherapy.,,,,,,
ARDS_POI_02001,Extracorporeal life support,POI_intervention,,,,,,,Thesaurus.owl#C95171,BioPortal,Any medical procedure used to sustain the life of a patient in critical condition.,,,,,,
ARDS_POI_01031,Extracorporeal membrane oxygenation (ECMO),POI_intervention,,,,,,,D015199,BioPortal,"Application of a life support system that circulates the blood through an oxygenating system, which may consist of a pump, a membrane oxygenator, and a heat exchanger. Examples of its use are to assist victims of SMOKE INHALATION INJURY; RESPIRATORY FAILURE; and CARDIAC FAILURE.",29791822,,,,,
ARDS_POI_02765,Extravascular lung water measurement,POI_intervention,,,,,,,870195002,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02204,Fiberoptic bronchoscopy with bronchoalveolar lavage,POI_intervention,,,,,,,Thesaurus.owl#C38042,BioPortal,"A procedure in which cells are taken from the inside of the airways that lead to the lungs. A bronchoscope is inserted through the nose or mouth into the lungs. A mild salt solution is washed over the surface of the airways to collect cells, which are then looked at under a microscope. Bronchial was",,,,,,
ARDS_POI_01389,Fluid Balance Optimization,POI_intervention,,,,,,,251857007,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01672,Fluid Loading,POI_intervention,,,,,,,Thesaurus.owl#C48174,BioPortal,"To fill or to place an object onto or into a structure or conveyence; in computer terms, to copy data into memory.",,,,,,
ARDS_POI_01028,Fluid Restriction,POI_intervention,,,,,,,25389001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02930,Full enteral feeding first 6d,POI_intervention,,,,,,,229912004,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02152,Full-face mask NIMV,POI_intervention,,,,,,,261352009,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01376,Furosemide with albumin therapy,POI_intervention,,,,,,,C053906,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01392,Global lung ultrasound score,POI_intervention,,,,,,,Thesaurus.owl#C159944,BioPortal,"A scoring system for assessing overall response to treatment in skin, lymph nodes, blood, and viscera.",,,,,,
ARDS_POI_01216,Global muscle strength assessment,POI_intervention,,,,,,,Thesaurus.owl#C221674,BioPortal,An assessment to evaluate the ability to exert force on an object using muscles.,,,,,,
ARDS_POI_01212,Global strength and handgrip dynamometry assessment,POI_intervention,,,,,,,Thesaurus.owl#C161407,BioPortal,"A technique that measures the torque, or force, of muscle action.",,,,,,
ARDS_POI_02223,Glutamine supplementation,POI_intervention,,,,,,,Thesaurus.owl#C167116,BioPortal,The addition of creatine to an individual's daily diet. It is most commonly used for improving exercise performance and increasing muscle mass in athletes and older adults.,,,,,,
ARDS_POI_01215,Handgrip dynamometry assessment,POI_intervention,,,,,,,Thesaurus.owl#C161407,BioPortal,"A technique that measures the torque, or force, of muscle action.",,,,,,
ARDS_POI_02935,Hfnc for cards avoidance intubation,POI_intervention,,,,,,,60742000,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",25981908,,,,,
ARDS_POI_02936,Hfnc initial management,POI_intervention,,,,,,,Thesaurus.owl#C61372,BioPortal,"The act of conducting, controlling or supervising something.",25981908,,,,,
ARDS_POI_02937,High flow nasal cannula hfnc,POI_intervention,,,,,,,426854004,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",25981908,,,,,
ARDS_POI_02938,High flow nasal oxygen and niv,POI_intervention,,,,,,,426854004,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02941,High peep with recruitment maneuvers olv,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,28973363,,,,,
ARDS_POI_02495,High respiratory rate ventilation,POI_intervention,,,,,,,D006612,BioPortal,"Ventilatory support system using frequencies from 60-900 cycles/min or more. Three types of systems have been distinguished on the basis of rates, volumes, and the system used. They are high frequency positive-pressure ventilation (HFPPV); HIGH-FREQUENCY JET VENTILATION; (HFJV); and high-frequency o",,,,,,
ARDS_POI_03214,High-flow nasal cannula oxygen therapy,POI_intervention,"Heated humidified O₂ at 20–60 L/min via wide-bore nasal cannula. FLORALI (PMID 25981908): 90-day mortality 12% vs 23–28% (P=0.02, secondary).",,,,,,Thesaurus.owl#C171510,BioPortal,,25981908,,,,,
ARDS_POI_01047,Higher PEEP levels,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_02314,Home nasal positive-pressure ventilation,POI_intervention,,,,,,,1149092001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01689,Hydrocortisone,POI_intervention,,,,,,,D006854,BioPortal,Oral tablet format of HYDROCORTISONE.,,,,,,
ARDS_POI_01266,Hypoxemic acute respiratory failure,POI_intervention,,,,,,,709111008,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01661,ICUAW management,POI_intervention,,,,,,,Thesaurus.owl#C61372,BioPortal,"The act of conducting, controlling or supervising something.",,,,,,
ARDS_POI_02218,Immune-modulating diets (IMDs),POI_intervention,,,,,,,D000092724,BioPortal,"Temporary dietary restrictions designed to help identify specific foods or FOOD ADDITIVES that trigger ALLERGIC REACTIONS, symptoms of DIGESTIVE SYSTEM DISORDERS, or other adverse food reactions.",,,,,,
ARDS_POI_01809,Implementation of ICU nutrition management protocol,POI_intervention,,,,,,,386372009,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01630,Improved Airway Humidification,POI_intervention,,,,,,,229302002,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02953,Improved lung mechanics peep,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_02955,Improved pao2 fio2,POI_intervention,,,,,,,Thesaurus.owl#C204337,BioPortal,Sepsis-related Organ Failure Assessment 27th March 2024 Version (SOFA 27th March 2024 Version) Respiration: PaO2/FiO2.,,,,,,
ARDS_POI_02956,Improved pao2 fio2 ratio,POI_intervention,,,,,,,Thesaurus.owl#C204337,BioPortal,Sepsis-related Organ Failure Assessment 27th March 2024 Version (SOFA 27th March 2024 Version) Respiration: PaO2/FiO2.,,,,,,
ARDS_POI_02957,Improved pao2 fio2 ratio 1h,POI_intervention,,,,,,,Thesaurus.owl#C204337,BioPortal,Sepsis-related Organ Failure Assessment 27th March 2024 Version (SOFA 27th March 2024 Version) Respiration: PaO2/FiO2.,,,,,,
ARDS_POI_02968,Increased cardiac index with prone,POI_intervention,,,,,,,42488007,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02376,Increased heart rate,POI_intervention,,,,,,,D006339,BioPortal,"The number of times the HEART VENTRICLES contract per unit of time, usually per minute.",,,,,,
ARDS_POI_02973,Increased intubation risk hfnc,POI_intervention,,,,,,,133141000112108,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",25981908,,,,,
ARDS_POI_02974,Increased intubation risk niv,POI_intervention,,,,,,,133141000112108,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02977,Increased peep ards,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_02979,Increased ratio pao2 fio2,POI_intervention,,,,,,,Thesaurus.owl#C204337,BioPortal,Sepsis-related Organ Failure Assessment 27th March 2024 Version (SOFA 27th March 2024 Version) Respiration: PaO2/FiO2.,,,,,,
ARDS_POI_02982,Increasing hfnc flow rate,POI_intervention,,,,,,,Thesaurus.owl#C82554,BioPortal,The speed of movement of a liquid.,25981908,,,,,
ARDS_POI_02548,Inhaled sevoflurane,POI_intervention,,,,,,,D000077149,BioPortal,A non-explosive inhalation anesthetic used in the induction and maintenance of general anesthesia. It does not cause respiratory irritation and may also prevent PLATELET AGGREGATION.,,,,,,
ARDS_POI_01228,Injurious ventilation strategy,POI_intervention,,,,,,,28887008,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02080,Intensive PT program,POI_intervention,,,,,,,Thesaurus.owl#C85515,BioPortal,The first 8 weeks of treatment for tuberculosis during which the infection is treated aggressively with multiple drugs.,,,,,,
ARDS_POI_02075,Intraoperative protective ventilation,POI_intervention,,,,,,,D014691,BioPortal,"Supplying a building or house, their rooms and corridors, with fresh air. The controlling of the environment thus may be in public or domestic sites and in medical or non-medical locales. (From Dorland, 28th ed)",,,,,,
ARDS_POI_02093,Intravenous N-acetylcysteine (NAC),POI_intervention,,,,,,,C018710,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02993,Less late niv failure in copd with obesity,POI_intervention,,,,,,,D000079262,BioPortal,BODY MASS INDEX in PREGNANT PEOPLE that is excessively above the recommended cut-off.,,,,,,
ARDS_POI_02994,Limited peep benefit,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
ARDS_POI_01646,Low airway pressures,POI_intervention,,,,,,,263644009,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01417,Lung Injury Score,POI_intervention,,,,,,,D055370,BioPortal,"Damage to any compartment of the lung caused by physical, chemical, or biological agents which characteristically elicit inflammatory reaction. These inflammatory reactions can either be acute and dominated by NEUTROPHILS, or chronic and dominated by LYMPHOCYTES and MACROPHAGES.",,,,,,
ARDS_POI_01701,Lung cancer resection,POI_intervention,,,,,,,Thesaurus.owl#C206661,BioPortal,A surgical pathology template that was developed by the College of American Pathologists (CAP) and refers to the reporting of specific data elements on lung cancer diagnosed in tissue obtained through resection.,,,,,,
ARDS_POI_01579,Lung expansion interventions,POI_intervention,,,,,,,D000099060,BioPortal,Various interventions designed to improve treatment adherence and compliance.,,,,,,
ARDS_POI_01066,Lung-protective ventilation strategy,POI_intervention,Lung-protective ventilation strategy using tidal volume 6 ml/kg predicted body weight with plateau pressure ≤30 cmH₂O. ARMA trial (PMID 10793162): mortality 31.0% vs 39.8% with 12 ml/kg (P=0.007). Pre,,,,,,281419009,BioPortal,,,,,,,
ARDS_POI_01558,Lymphopenia on admission,POI_intervention,,,,,,,278307001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02061,Manually and mechanically assisted coughing,POI_intervention,,,,,,,5556001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01130,Matched transfusions,POI_intervention,,,,,,,Thesaurus.owl#C71505,BioPortal,"A statistical sampling technique that involves related observations that come from the same individuals or subjects measured under two or more different conditions or at different times, such as blood pressure taken in the morning and then in the afternoon.",,,,,,
ARDS_POI_01529,Methylprednisolone infusion,POI_intervention,,,,,,,D008775,BioPortal,A PREDNISOLONE derivative with similar anti-inflammatory action.,,,,,,
ARDS_POI_01784,Multidisciplinary ventilator management protocol,POI_intervention,,,,,,,842901000000108,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02803,NIPPV for SARS-related acute respiratory failure,POI_intervention,,,,,,,65710008,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02153,Nasal mask NIMV,POI_intervention,,,,,,,442398003,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_02154,Nasal plugs NIMV,POI_intervention,,,,,,,D000070635,BioPortal,Small devices that are inserted into the tear ducts (NASOLACRIMAL DUCTS). They are used to block the drainage of TEARS for the treatment of DRY EYE SYNDROMES.,,,,,,
ARDS_POI_01719,Nasal positive-pressure ventilation plus oxygen,POI_intervention,,,,,,,1149092001,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_03016,New ventilatory approach na,POI_intervention,,,,,,,34721000,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_03018,Niv algorithm compensation,POI_intervention,,,,,,,59811005,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_03019,Niv delivered by helmet,POI_intervention,,,,,,,285695004,BioPortal,Headwear designed to protect against injuries,,,,,,
ARDS_POI_03020,Niv success,POI_intervention,,,,,,,Thesaurus.owl#C25362,BioPortal,An event that accomplishes its intended purpose.,,,,,,
ARDS_POI_02207,Noninvasive diagnostic testing,POI_intervention,,,,,,,D000081182,BioPortal,"The analysis of cell-free fetal DNA or the DNA from fetal cells that are biopsied from a pregnant woman's blood, to screen for genetically-determined traits and genetic abnormalities.",,,,,,
ARDS_POI_01158,Noninvasive positive-pressure ventilation,POI_intervention,,,,,,,D063087,BioPortal,Techniques for administering artificial respiration without the need for INTRATRACHEAL INTUBATION.,,,,,,
ARDS_POI_01609,Noninvasive ventilation delivered by helmet,POI_intervention,,,,,,,D063087,BioPortal,Techniques for administering artificial respiration without the need for INTRATRACHEAL INTUBATION.,,,,,,
ARDS_POI_02224,Omega-3 fatty acids supplementation,POI_intervention,,,,,,,D015525,BioPortal,"A group of unsaturated fatty acids occurring mainly in fish oils, with three double bonds at particular positions in the hydrocarbon chain.",,,,,,
ARDS_POI_02622,Over Assistance Prevention,POI_intervention,,,,,,,480861000124108,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_01791,PEEP titration guided by esophageal pressure in ARDS,POI_intervention,,,,,,,9576003,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",10793162,,,,,
ARDS_POI_03040,Pao2 fio2 less than equal to 200 mmhg,POI_intervention,,,,,,,Thesaurus.owl#C138318,BioPortal,Any acute pneumonia with PaO2 less than or equal to 65 mmHg.,,,,,,
ARDS_POI_03281,Parsimonious ARDS subphenotype classifier,POI_intervention,"Real-time bedside classification model using only 3 readily available variables — IL-8 (plasma), Protein C (plasma), and Bicarbonate (serum) — to distinguish hyperinflammatory from hypoinflammatory AR",,,,,,159857006,BioPortal,,,,,,,
ARDS_POI_02809,Patient immobilization during ICU stay,POI_intervention,,,,,,,371828006,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,,,,,
ARDS_POI_03042,Patient ventilator trigger asynchrony,POI_intervention,,,,,,,D000097742,BioPortal,A time mismatch between patient's inspiratory effort and MECHANICAL VENTILATOR's inspiratory time.,,,,,,
ARDS_POI_01283,Peak cough flow >160 L/min,POI_intervention,,,,,,,Thesaurus.owl#C135498,BioPortal,"The maximum rate of air flow expelled through the mouth, endotracheal, or tracheostomy tube during a cough.",,,,,,
ARDS_POI_01282,Peak cough flow threshold for extubation/decannulation,POI_intervention,,,,,,,Thesaurus.owl#C135498,BioPortal,"The maximum rate of air flow expelled through the mouth, endotracheal, or tracheostomy tube during a cough.",,,,,,
ARDS_POI_03044,Peep induced recruitment gradient,POI_intervention,,,,,,,Thesaurus.owl#C92058,BioPortal,Problems that result from the gradient-induced fields generated during radiologic procedures e.g. magnetic resonance imaging.,10793162,,,,,
ARDS_POI_03045,Peep optimization for ards,POI_intervention,Life-threatening syndrome of acute diffuse inflammatory lung injury. 2012 Berlin criteria: acute onset within 1 week of clinical insult; bilateral opacities on imaging; PaO₂/FiO₂ ≤300 mmHg on PEEP ≥5 ,,,,,,Thesaurus.owl#C191613,BioPortal,,10793162,,,,,
ARDS_POI_03046,Peep reduction ards,POI_intervention,,,,,,,Thesaurus.owl#C191613,BioPortal,The ratio of fraction of inspired oxygen (FiO2) to positive end-expiratory pressure (PEEP). This measured value may be adjusted on a mechanical ventilator to optimize treatment.,10793162,,,,,
